function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_0806fcd0,0806fcd0,x86,gcc,O3,1,1,0,0,10,21,13,7,7,0.3333333333333333,9.6,1,16,96,1.6166380493034982,0.16503320541283387,374.0,11,0.09316770186335403,0.17184265010351968,0.14078674948240166,0.012422360248447204,0.004140786749482402,0.010351966873706004,0,0,68,88,104,79,0.14078674948240166,5.634079330537355,2.660812468692677,0.13541666666666666,51,unknown,6,15,7,3.0,unknown,1,unknown
FUN_0806fe20,0806fe20,x86,gcc,O3,1,1,0,0,28,56,30,17,17,0.30357142857142855,5.107142857142857,1,37,143,1.4596722589753022,0.13444902045600227,560.0,28,0.07225433526011561,0.14739884393063585,0.10549132947976879,0.004335260115606936,0.001445086705202312,0.0,4,0,144,102,105,114,0.10549132947976879,5.648985218477778,2.5270241863414533,0.2097902097902098,58,unknown,17,39,17,1.4464285714285714,unknown,1,unknown
FUN_08070020,08070020,x86,gcc,O3,1,1,0,0,10,17,9,8,8,0.47058823529411764,4.9,1,14,49,1.3138981277696544,0.13912917647397735,152.0,7,0.0947867298578199,0.13744075829383887,0.15165876777251186,0.009478672985781991,0.0,0.0,0,0,56,29,31,35,0.15165876777251186,5.498253758483626,2.6258552858826736,0.1836734693877551,29,unknown,4,13,8,1.0588235294117647,unknown,1,unknown
FUN_080700c0,080700c0,x86,gcc,O3,1,1,0,0,51,97,48,40,40,0.41237113402061853,6.196078431372549,1,55,316,1.3828420100003478,0.12658332406014317,1014.0,46,0.11937097927090778,0.1472480343102216,0.135096497498213,0.002144388849177984,0.010007147962830594,0.0028591851322373124,0,0,113,210,221,239,0.135096497498213,5.948990363673074,2.6635899550017688,0.1518987341772152,82,unknown,32,65,40,1.824742268041237,unknown,1,unknown
FUN_08070550,08070550,x86,gcc,O3,1,1,0,0,3,5,4,2,2,0.4,4.666666666666667,1,5,14,1.593088837605337,0.156011781011781,66.0,2,0.08860759493670886,0.16455696202531644,0.10126582278481013,0.0,0.0,0.0,0,0,8,13,13,13,0.10126582278481013,4.711421641246036,2.629076236886405,0.2857142857142857,11,unknown,1,4,2,1.4,unknown,1,unknown
FUN_08070700,08070700,x86,gcc,O3,1,1,0,0,16,35,21,9,9,0.2571428571428571,9.3125,1,27,149,1.4479096652625705,0.18867119736570004,516.0,19,0.09557774607703282,0.16975748930099857,0.12696148359486448,0.012838801711840228,0.0,0.008559201141226819,12,0,68,125,146,122,0.12696148359486448,5.9744832695978385,2.7253463399659847,0.14093959731543623,55,unknown,9,26,9,1.4285714285714286,unknown,1,unknown
FUN_080708f0,080708f0,x86,gcc,O3,1,1,0,0,1,2,3,1,1,0.5,12.0,0,3,12,2.0361453512627,0.10344827586206896,32.0,1,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.0,0.0,0.0,0,0,8,6,6,14,0.1724137931034483,4.802915339393917,2.81382263657905,0.25,9,unknown,0,2,1,0.0,unknown,1,unknown
FUN_080715b0,080715b0,x86,gcc,O3,1,1,0,0,1,1,2,1,1,1.0,20.0,0,2,20,2.0876718774699063,0.10526315789473684,42.0,0,0.17105263157894737,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0,0,4,8,8,15,0.15789473684210525,4.484977446336003,2.630204791250594,0.1,8,unknown,0,1,1,0.0,unknown,1,unknown
FUN_08071600,08071600,x86,gcc,O3,1,1,0,0,1,1,2,0,0,0.0,10.0,0,2,10,1.5162870814346872,0.08333333333333333,26.0,0,0.10416666666666667,0.08333333333333333,0.22916666666666666,0.0,0.0,0.0,0,0,16,4,4,13,0.22916666666666666,3.6607546627667134,2.7670223980369886,0.2,5,unknown,0,1,0,0.0,unknown,1,unknown
FUN_08071620,08071620,x86,gcc,O3,1,1,0,0,22,39,19,16,16,0.41025641025641024,4.7727272727272725,3,10,105,1.1827288499361015,0.16691241946562851,380.0,17,0.07192575406032482,0.15081206496519722,0.08816705336426914,0.009280742459396751,0.004640371229698376,0.0,0,0,36,65,69,55,0.08816705336426914,5.654014503401063,2.3878659218280385,0.18095238095238095,54,unknown,13,26,16,1.1282051282051282,unknown,1,unknown
FUN_08071860,08071860,x86,gcc,O3,1,1,0,0,112,213,103,67,67,0.3145539906103286,7.3125,1,74,819,1.7997302577549141,0.13582570971576374,2312.0,101,0.13151079136690647,0.1306474820143885,0.14992805755395683,0.002302158273381295,0.006330935251798561,0.00776978417266187,9,0,164,481,543,665,0.14992805755395683,6.048092220578174,2.6878284881098327,0.12576312576312576,117,unknown,60,153,67,1.4976525821596245,unknown,1,unknown
FUN_08072340,08072340,x86,gcc,O3,1,1,0,0,89,189,102,61,53,0.32275132275132273,6.52808988764045,1,90,581,1.637420075277203,0.12611971666538058,1816.0,100,0.11208967173738991,0.1301040832666133,0.1477181745396317,0.0016012810248198558,0.004403522818254604,0.0,12,0,216,325,329,466,0.1477181745396317,6.1274549075230915,2.6144802932839304,0.17555938037865748,108,unknown,56,133,61,1.5238095238095237,unknown,1,unknown
FUN_08072bf0,08072bf0,x86,gcc,O3,1,1,0,0,31,70,41,25,25,0.35714285714285715,6.709677419354839,1,38,208,1.4330048509754587,0.15300908462587348,678.0,39,0.09257265877287406,0.13670613562970937,0.1442411194833154,0.001076426264800861,0.0,0.0,0,0,128,127,128,172,0.1442411194833154,5.7928297569163645,2.6617566991378556,0.1971153846153846,48,unknown,20,50,25,1.4142857142857144,unknown,1,unknown
FUN_08072ef0,08072ef0,x86,gcc,O3,1,1,0,0,258,432,176,140,136,0.32407407407407407,4.627906976744186,15,113,1194,1.6679563138525764,0.1615989085913984,4522.0,174,0.10255119167505874,0.16599530043638805,0.10053709298422289,0.004699563611950319,0.010070493454179255,0.019637462235649546,51,0,280,1106,1368,970,0.10053709298422289,6.144382631720547,2.677434749781461,0.1474036850921273,142,unknown,159,273,140,1.5300925925925926,unknown,1,unknown
FUN_080745f0,080745f0,x86,gcc,O3,1,1,0,0,62,112,52,31,30,0.2767857142857143,5.806451612903226,1,26,360,1.5695451147601365,0.12302985317970214,1304.0,50,0.11253041362530414,0.15632603406326034,0.1362530413625304,0.0024330900243309003,0.006690997566909975,0.0024330900243309003,0,0,532,261,273,277,0.1362530413625304,5.694424915787963,2.629482183114967,0.14444444444444443,90,unknown,35,77,31,1.8392857142857142,unknown,1,unknown
FUN_08074bd0,08074bd0,x86,gcc,O3,1,1,0,0,32,52,22,15,11,0.28846153846153844,3.9375,1,17,126,1.2306839990551655,0.14892531608960088,494.0,20,0.08133086876155268,0.15711645101663585,0.08872458410351201,0.009242144177449169,0.0036968576709796672,0.0018484288354898336,5,0,48,86,93,72,0.08872458410351201,5.752954569482845,2.4218927262490926,0.1746031746031746,75,unknown,17,35,15,1.1923076923076923,unknown,1,unknown
FUN_08074da0,08074da0,x86,gcc,O3,1,1,0,0,75,139,66,46,44,0.33093525179856115,6.053333333333334,1,17,454,1.2890507155024296,0.1481768689701713,2084.0,64,0.09362460989745876,0.1765492643780651,0.10655372269282211,0.00490414623272403,0.004458314757021846,0.004012483281319661,5,0,124,405,434,360,0.10655372269282211,5.989055504697481,2.615200157703292,0.14537444933920704,99,unknown,37,102,46,2.302158273381295,unknown,1,unknown
