architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexicity_density,unique_ngram_count
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_infinity,100914,ECC,1,0,1,0,0,0,18,1,1,0,0,0,0,18,1.502790203,0.022222222,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_add,0010093e,ECC,4,4,2,0,0,0,6.75,1,4,0,0,0,0,27,1.399564109,0,4,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_mul,100996,ECC,1,1,2,0,0,0,19,0,2,0,0,0,0,19,2.038918772,0.038461538,14,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_inv,001009d0,ECC,8,10,4,0,0,0,5.125,1,9,0,0,0,0,41,1.356885131,0.005681818,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_sub,00100a5c,ECC,5,5,2,0,0,0,6.4,1,5,0,0,0,0,32,1.482190907,0,4,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_add,00100ac8,ECC,17,35,20,14,0,0.4,9.176470588,1,23,0,0,0,0,156,1.287884581,0.039370782,120,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,scalar_mul,00100cde,ECC,13,18,7,4,0,0.222222222,8.769230769,1,10,0,0,0,0,114,0.936781762,0.036417139,58,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,gen_keypair,1.00E+60,ECC,5,7,4,3,0,0.428571429,8.2,0,6,0,0,0,0,41,1.445961684,0.023227753,32,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,compute_shared,00100ed8,ECC,1,1,2,1,0,1,17,0,2,0,0,0,0,17,2.066461506,0.041666667,10,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,ecdsa_sign_toy,00100f0c,ECC,15,23,10,9,0,0.391304348,5.666666667,1,8,0,0,0,0,85,0.798363628,0.015425926,48,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,ecdsa_verify_toy,0010103c,ECC,17,28,13,6,0,0.214285714,6.176470588,1,21,0,0,0,0,105,1.138601653,0.014664364,64,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,print_point,001011b0,ECC,5,7,4,2,0,0.285714286,6,1,6,0,0,0,0,30,1.391703623,0.0615,20,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,main,101210,Non-Crypto,5,35,32,28,0,0.8,37.2,1,16,0,0,0,0,186,2.321803498,0.084286724,222,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_is_equal,1.01E+03,ECC,15,19,6,0,0,0,3.8,1,15,0,0,0,0,57,1.09415353,0.014074074,32,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,egcd,101592,ECC,5,6,3,1,0,0.166666667,9.8,1,4,0,0,0,0,49,1.445758365,0.006779661,22,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,__umodti3,101636,ECC,69,106,39,11,0,0.103773585,3.782608696,4,66,0,0,0,0,261,0.374047788,0.105878815,146,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.854067142,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006a0,001006a0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006b0,001006b0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006c0,001006c0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_001006d0,001006d0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,_start,1.01E+03,Non-Crypto,1,3,4,1,0,0.333333333,12,0,3,0,0,0,0,12,1.862985834,0.086956522,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,_PREINIT_0,100702,Non-Crypto,1,0,1,0,0,0,3,1,1,0,0,0,0,3,1.303515793,0.2,2,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,deregister_tm_clones,0010070e,Non-Crypto,4,5,3,0,0,0,2.5,1,5,0,0,0,0,10,1.034242869,0.085714286,2,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,register_tm_clones,100730,Non-Crypto,4,5,3,0,0,0,3.75,1,5,0,0,0,0,15,0.946668011,0.10515873,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,__do_global_dtors_aux,0010075c,Non-Crypto,5,8,5,1,0,0.125,4,2,7,0,0,0,0,20,1.567499428,0.068253968,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,init_demo_curve,100798,ECC,1,0,1,0,0,0,12,1,1,0,0,0,0,12,1.082426004,0,10,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_double,001007b4,ECC,5,20,17,0,0,0,18.2,1,10,0,0,0,0,91,1.219018103,0.067552483,98,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_infinity,001008aa,ECC,1,0,1,0,0,0,9,1,1,0,0,0,0,9,1.435510082,0.043478261,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_add,001008c0,ECC,3,3,2,0,0,0,1.666666667,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_mul,001008ce,ECC,1,1,2,0,0,0,11,0,2,0,0,0,0,11,1.575129401,0.074074074,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_inv,001008ec,ECC,5,7,4,0,0,0,4,1,6,0,0,0,0,20,0.682033231,0.016666667,14,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_sub,0010091e,ECC,3,2,1,0,0,0,3,2,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_add,0010093c,ECC,12,29,19,16,0,0.551724138,9.333333333,1,18,0,0,0,0,112,1.319439507,0.065580311,114,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,scalar_mul,00100a6a,ECC,6,11,7,5,0,0.454545455,16.16666667,1,7,0,0,0,0,97,1.324117141,0.105006011,64,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,gen_keypair,00100b70,ECC,1,2,3,2,0,1,23,0,3,0,0,0,0,23,1.776518822,0.070175439,22,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,compute_shared,00100bae,ECC,1,1,2,1,0,1,7,0,2,0,0,0,0,7,1.899752511,0.105263158,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,ecdsa_sign_toy,00100bc0,ECC,8,16,10,9,0,0.5625,9.75,1,7,0,0,0,0,78,1.099540501,0.053125,58,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,ecdsa_verify_toy,00100c8c,ECC,7,16,11,6,0,0.375,11.71428571,1,11,0,0,0,0,82,1.021848899,0.078813753,74,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,print_point,00100d64,ECC,4,6,4,2,0,0.333333333,5.25,1,5,0,0,0,0,21,1.520780387,0.093045113,20,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,main,00100d9e,Non-Crypto,5,35,32,28,0,0.8,36.8,1,17,0,0,0,0,184,1.23259181,0.097670245,234,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_is_equal,00100fd6,ECC,8,8,2,0,0,0,2.875,4,8,0,0,0,0,23,0.46135243,0.038690476,20,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,egcd,0010100a,ECC,4,5,3,1,0,0.2,8.75,1,3,0,0,0,0,35,1.138265148,0.015625,26,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,__umodti3,101064,ECC,69,106,39,11,0,0.103773585,3.782608696,4,66,0,0,0,0,261,0.371823325,0.105878815,146,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.854067142,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006a0,001006a0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006b0,001006b0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006c0,001006c0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006d0,001006d0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,_start,1.01E+03,Non-Crypto,1,3,4,1,0,0.333333333,12,0,3,0,0,0,0,12,1.862985834,0.086956522,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,_PREINIT_0,100702,Non-Crypto,1,0,1,0,0,0,3,1,1,0,0,0,0,3,1.303515793,0.2,2,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,deregister_tm_clones,0010070e,Non-Crypto,4,5,3,0,0,0,2.5,1,5,0,0,0,0,10,1.034242869,0.085714286,2,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,register_tm_clones,100730,Non-Crypto,4,5,3,0,0,0,3.75,1,5,0,0,0,0,15,0.946668011,0.10515873,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,__do_global_dtors_aux,0010075c,Non-Crypto,5,8,5,1,0,0.125,4,2,7,0,0,0,0,20,1.567499428,0.068253968,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,init_demo_curve,100798,ECC,1,0,1,0,0,0,12,1,1,0,0,0,0,12,1.082426004,0,10,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_double,001007b4,ECC,5,20,17,0,0,0,18.2,1,10,0,0,0,0,91,1.219018103,0.067552483,98,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_infinity,001008aa,ECC,1,0,1,0,0,0,9,1,1,0,0,0,0,9,1.435510082,0.043478261,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_add,001008c0,ECC,3,3,2,0,0,0,1.666666667,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_mul,001008ce,ECC,1,1,2,0,0,0,11,0,2,0,0,0,0,11,1.575129401,0.074074074,8,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_inv,001008ec,ECC,5,7,4,0,0,0,4,1,6,0,0,0,0,20,0.682033231,0.016666667,14,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_sub,0010091e,ECC,3,2,1,0,0,0,3,2,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_add,0010093c,ECC,12,29,19,16,0,0.551724138,9.333333333,1,18,0,0,0,0,112,1.319439507,0.065580311,114,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,scalar_mul,00100a6a,ECC,6,11,7,5,0,0.454545455,16.16666667,1,7,0,0,0,0,97,1.324117141,0.105006011,64,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,gen_keypair,00100b70,ECC,1,2,3,2,0,1,23,0,3,0,0,0,0,23,1.776518822,0.070175439,22,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,compute_shared,00100bae,ECC,1,1,2,1,0,1,7,0,2,0,0,0,0,7,1.899752511,0.105263158,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,ecdsa_sign_toy,00100bc0,ECC,6,14,10,8,0,0.571428571,10.33333333,1,7,0,0,0,0,62,1.423144912,0.076407309,52,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,ecdsa_verify_toy,00100c64,ECC,7,16,11,6,0,0.375,11.71428571,1,11,0,0,0,0,82,1.023844696,0.078813753,74,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,print_point,00100d3c,ECC,3,4,3,2,0,0.5,5,0,4,0,0,0,0,15,1.402410165,0.138888889,20,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,main,00100d6a,Non-Crypto,5,35,32,28,0,0.8,36.8,1,17,0,0,0,0,184,1.239455286,0.097670245,234,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_is_equal,00100fa2,ECC,7,6,1,0,0,0,2.857142857,4,7,0,0,0,0,20,0.35108284,0.023809524,18,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,egcd,00100fd0,ECC,4,5,3,1,0,0.2,8.75,1,3,0,0,0,0,35,1.146885838,0.015625,26,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,__umodti3,0010102a,ECC,69,106,39,11,0,0.103773585,3.782608696,4,66,0,0,0,0,261,0.364163782,0.105878815,146,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O3,ecc_riscv_clang_O3.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
